1033570.000000,688821.000000
1230940.000000,957621.000000
758166.000000,785421.000000
725016.000000,743421.000000
619446.000000,625821.000000
435846.000000,672021.000000
1137100.000000,819021.000000
974380.000000,798021.000000
645456.000000,604821.000000
454180.000000,806421.000000
454180.000000,831621.000000
458260.000000,814821.000000
452140.000000,823221.000000
452140.000000,781221.000000
452140.000000,827421.000000
452140.000000,810621.000000
454180.000000,835821.000000
419500.000000,802221.000000
419500.000000,806421.000000
419500.000000,798021.000000
419500.000000,810621.000000
427660.000000,789621.000000
429700.000000,798021.000000
421540.000000,789621.000000
425620.000000,806421.000000
439900.000000,814821.000000
435820.000000,831621.000000
446020.000000,819021.000000
441940.000000,831621.000000
450100.000000,814821.000000
448060.000000,835821.000000
452140.000000,819021.000000
448060.000000,831621.000000
425620.000000,814821.000000
421540.000000,827421.000000
419500.000000,819021.000000
423580.000000,831621.000000
419500.000000,814821.000000
429700.000000,831621.000000
425620.000000,819021.000000
427660.000000,827421.000000
437860.000000,743421.000000
397060.000000,562821.000000
399100.000000,550221.000000
388900.000000,546021.000000
395020.000000,546021.000000
405220.000000,558621.000000
405220.000000,550221.000000
386860.000000,567021.000000
399100.000000,579621.000000
446020.000000,777021.000000
454180.000000,802221.000000
452140.000000,793821.000000
441940.000000,781221.000000
439900.000000,777021.000000
453696.000000,785421.000000
452166.000000,777021.000000
431740.000000,663621.000000
382780.000000,562821.000000
388900.000000,550221.000000
388900.000000,533421.000000
388900.000000,537621.000000
386860.000000,554421.000000
380740.000000,554421.000000
384820.000000,571221.000000
384820.000000,579621.000000
433780.000000,777021.000000
443980.000000,844221.000000
441940.000000,835821.000000
433780.000000,781221.000000
433780.000000,785421.000000
427660.000000,777021.000000
427660.000000,772821.000000
433780.000000,693021.000000
390940.000000,562821.000000
392980.000000,554421.000000
395020.000000,533421.000000
397060.000000,541821.000000
399100.000000,558621.000000
392980.000000,558621.000000
390940.000000,575421.000000
397060.000000,575421.000000
437860.000000,772821.000000
437860.000000,848421.000000
443980.000000,840021.000000
433780.000000,793821.000000
427660.000000,785421.000000
419500.000000,659421.000000
421540.000000,785421.000000
431740.000000,835821.000000
431740.000000,735021.000000
431740.000000,743421.000000
431740.000000,630021.000000
419500.000000,625821.000000
