1973,1369,reg47
1744,1211,reg82
1811,1319,reg49
2131,1415,reg88
1746,1422,reg24
2037,1292,reg4
2143,1375,reg80
1889,1248,reg66
1795,1690,reg115
1931,1326,reg117
1956,1704,reg8
1903,1468,reg7
1770,1418,reg60
2184,1639,reg14
1876,1391,reg44
2132,1363,reg110
1740,1701,reg42
2095,1670,reg53
1980,1663,reg26
2037,1684,reg45
1962,1560,reg102
2043,1533,reg98
2107,1362,reg94
1745,1321,reg56
2219,1346,reg50
2073,1333,reg31
1839,1343,reg129
2104,1378,reg10
1771,1525,reg105
1951,1573,reg51
1797,1444,reg106
2173,1476,reg37
1988,1412,reg84
1972,1211,reg109
1770,1515,reg78
2049,1643,reg73
1862,1403,reg63
2086,1354,reg100
1751,1364,reg101
1991,1359,reg113
2025,1372,reg74
2077,1494,reg32
1907,1423,reg21
1754,1609,reg55
1896,1446,reg103
1986,1505,reg19
2116,1392,reg67
2035,1515,reg108
2031,1462,reg107
2234,1398,reg12
1907,1519,reg15
1744,1533,reg71
2214,1628,reg116
2141,1580,reg118
2060,1411,reg65
2191,1498,reg125
2145,1598,reg111
1783,1590,reg68
2159,1646,reg41
1989,1527,reg58
2096,1386,reg40
1948,1521,reg46
2088,1263,reg9
2235,1417,reg59
2133,1337,reg93
1814,1701,reg97
2019,1672,reg36
1766,1379,reg18
1986,1563,reg122
1756,1617,reg70
2230,1237,reg57
1744,1592,reg83
1815,1565,reg35
2150,1693,reg114
1931,1523,reg22
1826,1677,reg64
2196,1430,reg48
1785,1408,reg23
1968,1465,reg120
1995,1419,reg123
1790,1226,reg112
1995,1549,reg2
2034,1296,reg11
1847,1335,reg39
2129,1600,reg77
2138,1397,reg119
1929,1276,reg17
1809,1261,reg127
2127,1441,reg61
1919,1286,reg29
2006,1600,reg87
1954,1688,reg6
2097,1218,reg1
2166,1595,reg124
1859,1693,reg89
2089,1647,reg5
1860,1232,reg20
2153,1496,reg95
2045,1389,reg52
1939,1618,reg3
2221,1503,reg28
2237,1710,reg34
2017,1625,reg30
2053,1460,reg69
2098,1334,reg75
2052,1544,reg16
2213,1265,reg76
2003,1449,reg38
1929,1496,reg92
1887,1443,reg128
2047,1622,reg62
1936,1222,reg86
2071,1422,reg85
1996,1351,reg121
2173,1376,reg54
1818,1464,reg13
2096,1586,reg72
1805,1409,reg81
2146,1634,reg96
1978,1312,reg91
1747,1561,reg25
1919,1506,reg27
2119,1535,reg90
2215,1432,reg99
1873,1462,reg43
1895,1543,reg104
2128,1527,reg33
1799,1360,reg79
1934,1433,reg126
