5450,3650,reg80
4900,8700,reg95
3300,6300,reg42
3850,4050,reg36
7900,5450,reg127
4450,8000,reg130
1150,6200,reg15
6150,2650,reg13
9150,3250,reg133
2500,1050,reg11
8550,6500,reg124
7600,5500,reg112
7550,8950,reg1
6500,2450,reg50
8750,7750,reg75
4700,3200,reg22
9850,7650,reg141
8250,3600,reg87
2650,1700,reg64
5200,1500,reg39
6300,3750,reg71
5850,9150,reg145
5100,8050,reg54
1300,8350,reg73
7200,1000,reg6
7000,7050,reg61
1450,7950,reg52
1900,9200,reg37
5250,7150,reg47
3050,5100,reg132
9500,7500,reg57
8500,9450,reg77
5700,4150,reg83
4350,7200,reg2
4850,6150,reg142
5300,9250,reg3
3650,1800,reg101
1800,4250,reg128
2450,6450,reg62
7300,9750,reg100
5350,3100,reg65
6850,1650,reg69
1550,4850,reg10
6800,9550,reg125
7850,6100,reg12
1700,3050,reg107
8850,5800,reg20
8600,7850,reg103
2900,9500,reg76
2000,9800,reg92
6650,6700,reg84
4300,4600,reg126
5400,4200,reg120
6750,9950,reg105
2150,8100,reg102
9600,5050,reg53
7250,7300,reg27
7950,4650,reg110
5050,2900,reg86
3950,3900,reg51
8300,4300,reg99
6550,4400,reg9
2850,5550,reg72
9400,6950,reg137
9700,8200,reg43
9300,1600,reg34
2950,2700,reg26
3200,3000,reg7
1400,1250,reg138
8050,8150,reg23
9750,5900,reg44
3600,1350,reg49
1750,9600,reg78
9450,6900,reg31
5000,2400,reg60
6450,9000,reg59
5550,3450,reg116
2350,6550,reg21
3400,6050,reg8
4050,7550,reg70
9800,5600,reg139
6600,6650,reg32
8650,8600,reg82
4200,3350,reg66
9050,5400,reg122
4500,2850,reg106
3450,5950,reg48
5600,9400,reg113
2600,7400,reg96
5150,3850,reg136
3900,1550,reg121
2750,9050,reg98
2250,8300,reg68
5750,8500,reg28
3000,4550,reg56
6950,4500,reg134
8950,2250,reg144
4750,3300,reg118
2400,2100,reg16
2800,6250,reg131
3550,7900,reg109
1500,6750,reg143
9550,9650,reg25
8150,2550,reg38
7700,5650,reg74
7400,2800,reg140
6200,4450,reg24
7450,3400,reg123
2050,8550,reg17
2300,1750,reg67
2100,2950,reg5
8700,8400,reg94
8450,5850,reg129
9000,1850,reg18
4400,3700,reg63
3250,5000,reg114
8000,7450,reg115
9900,2050,reg85
2550,9700,reg104
6000,1900,reg89
5950,2500,reg119
9650,8850,reg35
1100,5700,reg30
4650,6350,reg4
2200,4700,reg111
9100,3950,reg40
1850,9350,reg41
8200,7800,reg88
8900,8750,reg33
9250,5250,reg81
3100,8250,reg97
1250,7700,reg55
6400,5150,reg79
5900,1400,reg135
7750,7100,reg90
4800,2750,reg108
7650,4900,reg29
7350,4000,reg14
1200,2600,reg46
4100,3800,reg45
1650,5350,reg117
4150,6400,reg93
6250,5300,reg91
3700,4350,reg58
7150,9850,reg19
