3000,2900,reg43
3950,5200,reg57
4250,9350,reg27
6500,1900,reg11
9050,9700,reg24
9800,7650,reg2
8000,1200,reg10
4400,6800,reg53
2050,2350,reg28
5750,9000,reg47
5600,7850,reg41
9600,2150,reg32
7200,1950,reg46
3400,1800,reg21
2350,1150,reg64
3800,9150,reg51
3600,8900,reg38
6350,3750,reg7
5100,7250,reg22
1200,3600,reg31
9000,3800,reg60
4200,8650,reg9
2400,1550,reg1
9200,3550,reg16
6050,1700,reg6
1300,8800,reg36
6300,6350,reg13
4450,4800,reg39
8150,4300,reg17
4500,5400,reg45
3150,5300,reg67
6600,9800,reg19
9150,3850,reg66
6950,5850,reg65
3100,1250,reg35
1450,8400,reg54
9300,5550,reg58
1600,6550,reg40
1800,9050,reg14
2500,3950,reg37
6150,7150,reg62
4850,5350,reg5
8250,9400,reg20
5700,4500,reg68
7500,8500,reg61
4300,4650,reg52
6700,6400,reg3
5950,8250,reg8
9850,8950,reg26
4800,7750,reg44
5050,6450,reg4
2850,3200,reg30
6750,1450,reg29
1100,1500,reg69
4000,5100,reg25
8950,5600,reg33
4350,3700,reg55
4700,4000,reg50
2100,9650,reg23
9650,6850,reg18
1650,9900,reg49
4950,8300,reg34
3450,4750,reg12
1250,9100,reg15
6800,8050,reg59
2800,1650,reg63
4750,1050,reg42
8500,3050,reg56
2300,7700,reg48
