4284,4131,reg24
4378,4591,reg11
4607,4504,reg5
4430,4540,reg39
4368,4380,reg15
4359,4277,reg26
4739,4601,reg28
4554,4245,reg49
4284,4437,reg1
4322,4488,reg43
4376,4602,reg31
4467,4360,reg2
4308,4428,reg29
4431,4596,reg6
4626,4226,reg21
4478,4605,reg38
4660,4152,reg7
4619,4263,reg13
4266,4307,reg19
4407,4304,reg9
4690,4283,reg4
4293,4365,reg34
4685,4188,reg25
4406,4432,reg33
4320,4289,reg48
4602,4387,reg47
4700,4200,reg14
4575,4455,reg35
4399,4582,reg12
4679,4165,reg30
4544,4598,reg37
4589,4543,reg42
4456,4582,reg20
4481,4285,reg27
4688,4461,reg36
4394,4106,reg3
4492,4372,reg22
4357,4179,reg32
4463,4601,reg17
4342,4282,reg18
4510,4158,reg8
4480,4569,reg41
4404,4278,reg45
4664,4157,reg40
4731,4341,reg50
4705,4203,reg16
4565,4183,reg23
4370,4245,reg44
4348,4327,reg10
4722,4192,reg46
